Statistic Label,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 24 years,Both sexes,Thousand,28.8
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 24 years,Male,Thousand,16.1
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 24 years,Female,Thousand,12.7
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 74 years,Both sexes,Thousand,83.6
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 74 years,Male,Thousand,46.5
Seasonally Adjusted Monthly Unemployment,2000 June,15 - 74 years,Female,Thousand,37.1
Seasonally Adjusted Monthly Unemployment,2000 June,25 - 74 years,Both sexes,Thousand,54.8
Seasonally Adjusted Monthly Unemployment,2000 June,25 - 74 years,Male,Thousand,30.4
Seasonally Adjusted Monthly Unemployment,2000 June,25 - 74 years,Female,Thousand,24.4
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 24 years,Both sexes,Thousand,28.5
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 24 years,Male,Thousand,16.2
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 24 years,Female,Thousand,12.3
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 74 years,Both sexes,Thousand,81
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 74 years,Male,Thousand,45.8
Seasonally Adjusted Monthly Unemployment,2000 July,15 - 74 years,Female,Thousand,35.3
Seasonally Adjusted Monthly Unemployment,2000 July,25 - 74 years,Both sexes,Thousand,52.5
Seasonally Adjusted Monthly Unemployment,2000 July,25 - 74 years,Male,Thousand,29.6
Seasonally Adjusted Monthly Unemployment,2000 July,25 - 74 years,Female,Thousand,22.9
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 24 years,Both sexes,Thousand,28.1
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 24 years,Male,Thousand,16
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 24 years,Female,Thousand,12.2
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 74 years,Both sexes,Thousand,78.7
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 74 years,Male,Thousand,44.8
Seasonally Adjusted Monthly Unemployment,2000 August,15 - 74 years,Female,Thousand,33.8
Seasonally Adjusted Monthly Unemployment,2000 August,25 - 74 years,Both sexes,Thousand,50.6
Seasonally Adjusted Monthly Unemployment,2000 August,25 - 74 years,Male,Thousand,28.9
Seasonally Adjusted Monthly Unemployment,2000 August,25 - 74 years,Female,Thousand,21.7
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 24 years,Both sexes,Thousand,27.2
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 24 years,Male,Thousand,15.2
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 24 years,Female,Thousand,12
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 74 years,Both sexes,Thousand,75.8
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 74 years,Male,Thousand,43.4
Seasonally Adjusted Monthly Unemployment,2000 September,15 - 74 years,Female,Thousand,32.4
Seasonally Adjusted Monthly Unemployment,2000 September,25 - 74 years,Both sexes,Thousand,48.6
Seasonally Adjusted Monthly Unemployment,2000 September,25 - 74 years,Male,Thousand,28.1
Seasonally Adjusted Monthly Unemployment,2000 September,25 - 74 years,Female,Thousand,20.4
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 24 years,Both sexes,Thousand,26.7
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 24 years,Male,Thousand,14.6
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 24 years,Female,Thousand,12.1
Seasonally Adjusted Monthly Unemployment,2000 October,15 - 74 years,Both sexes,Thousand,73.1
