STATISTIC Label,Month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1924 December,Base December 2001=100,Base = 100,
Consumer Price Index,1924 December,Base December 2006=100,Base = 100,
Consumer Price Index,1924 December,Base December 2011=100,Base = 100,
Consumer Price Index,1924 December,Base December 2016=100,Base = 100,
Consumer Price Index,1924 December,Base December 2023=100,Base = 100,
Consumer Price Index,1925 January,Base July 1914=100,Base = 100,195
Consumer Price Index,1925 January,Base August 1947=100,Base = 100,
Consumer Price Index,1925 January,Base August 1953=100,Base = 100,
Consumer Price Index,1925 January,Base November 1968=100,Base = 100,
Consumer Price Index,1925 January,Base November 1975=100,Base = 100,
Consumer Price Index,1925 January,Base November 1982=100,Base = 100,
Consumer Price Index,1925 January,Base November 1989=100,Base = 100,
Consumer Price Index,1925 January,Base November 1996=100,Base = 100,
Consumer Price Index,1925 January,Base December 2001=100,Base = 100,
Consumer Price Index,1925 January,Base December 2006=100,Base = 100,
Consumer Price Index,1925 January,Base December 2011=100,Base = 100,
Consumer Price Index,1925 January,Base December 2016=100,Base = 100,
Consumer Price Index,1925 January,Base December 2023=100,Base = 100,
Consumer Price Index,1925 February,Base July 1914=100,Base = 100,195
Consumer Price Index,1925 February,Base August 1947=100,Base = 100,
Consumer Price Index,1925 February,Base August 1953=100,Base = 100,
Consumer Price Index,1925 February,Base November 1968=100,Base = 100,
Consumer Price Index,1925 February,Base November 1975=100,Base = 100,
Consumer Price Index,1925 February,Base November 1982=100,Base = 100,
Consumer Price Index,1925 February,Base November 1989=100,Base = 100,
Consumer Price Index,1925 February,Base November 1996=100,Base = 100,
Consumer Price Index,1925 February,Base December 2001=100,Base = 100,
Consumer Price Index,1925 February,Base December 2006=100,Base = 100,
Consumer Price Index,1925 February,Base December 2011=100,Base = 100,
Consumer Price Index,1925 February,Base December 2016=100,Base = 100,
Consumer Price Index,1925 February,Base December 2023=100,Base = 100,
Consumer Price Index,1925 March,Base July 1914=100,Base = 100,195
Consumer Price Index,1925 March,Base August 1947=100,Base = 100,
Consumer Price Index,1925 March,Base August 1953=100,Base = 100,
Consumer Price Index,1925 March,Base November 1968=100,Base = 100,
Consumer Price Index,1925 March,Base November 1975=100,Base = 100,
Consumer Price Index,1925 March,Base November 1982=100,Base = 100,
Consumer Price Index,1925 March,Base November 1989=100,Base = 100,
Consumer Price Index,1925 March,Base November 1996=100,Base = 100,
Consumer Price Index,1925 March,Base December 2001=100,Base = 100,
Consumer Price Index,1925 March,Base December 2006=100,Base = 100,
Consumer Price Index,1925 March,Base December 2011=100,Base = 100,
Consumer Price Index,1925 March,Base December 2016=100,Base = 100,
Consumer Price Index,1925 March,Base December 2023=100,Base = 100,
Consumer Price Index,1925 April,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 April,Base August 1947=100,Base = 100,
Consumer Price Index,1925 April,Base August 1953=100,Base = 100,
Consumer Price Index,1925 April,Base November 1968=100,Base = 100,
Consumer Price Index,1925 April,Base November 1975=100,Base = 100,
Consumer Price Index,1925 April,Base November 1982=100,Base = 100,
Consumer Price Index,1925 April,Base November 1989=100,Base = 100,
Consumer Price Index,1925 April,Base November 1996=100,Base = 100,
Consumer Price Index,1925 April,Base December 2001=100,Base = 100,
Consumer Price Index,1925 April,Base December 2006=100,Base = 100,
Consumer Price Index,1925 April,Base December 2011=100,Base = 100,
Consumer Price Index,1925 April,Base December 2016=100,Base = 100,
Consumer Price Index,1925 April,Base December 2023=100,Base = 100,
Consumer Price Index,1925 May,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 May,Base August 1947=100,Base = 100,
Consumer Price Index,1925 May,Base August 1953=100,Base = 100,
Consumer Price Index,1925 May,Base November 1968=100,Base = 100,
Consumer Price Index,1925 May,Base November 1975=100,Base = 100,
Consumer Price Index,1925 May,Base November 1982=100,Base = 100,
Consumer Price Index,1925 May,Base November 1989=100,Base = 100,
Consumer Price Index,1925 May,Base November 1996=100,Base = 100,
Consumer Price Index,1925 May,Base December 2001=100,Base = 100,
Consumer Price Index,1925 May,Base December 2006=100,Base = 100,
Consumer Price Index,1925 May,Base December 2011=100,Base = 100,
Consumer Price Index,1925 May,Base December 2016=100,Base = 100,
Consumer Price Index,1925 May,Base December 2023=100,Base = 100,
Consumer Price Index,1925 June,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 June,Base August 1947=100,Base = 100,
Consumer Price Index,1925 June,Base August 1953=100,Base = 100,
Consumer Price Index,1925 June,Base November 1968=100,Base = 100,
Consumer Price Index,1925 June,Base November 1975=100,Base = 100,
Consumer Price Index,1925 June,Base November 1982=100,Base = 100,
Consumer Price Index,1925 June,Base November 1989=100,Base = 100,
Consumer Price Index,1925 June,Base November 1996=100,Base = 100,
Consumer Price Index,1925 June,Base December 2001=100,Base = 100,
Consumer Price Index,1925 June,Base December 2006=100,Base = 100,
Consumer Price Index,1925 June,Base December 2011=100,Base = 100,
Consumer Price Index,1925 June,Base December 2016=100,Base = 100,
Consumer Price Index,1925 June,Base December 2023=100,Base = 100,
Consumer Price Index,1925 July,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 July,Base August 1947=100,Base = 100,
Consumer Price Index,1925 July,Base August 1953=100,Base = 100,
Consumer Price Index,1925 July,Base November 1968=100,Base = 100,
Consumer Price Index,1925 July,Base November 1975=100,Base = 100,
Consumer Price Index,1925 July,Base November 1982=100,Base = 100,
Consumer Price Index,1925 July,Base November 1989=100,Base = 100,
Consumer Price Index,1925 July,Base November 1996=100,Base = 100,
Consumer Price Index,1925 July,Base December 2001=100,Base = 100,
Consumer Price Index,1925 July,Base December 2006=100,Base = 100,
Consumer Price Index,1925 July,Base December 2011=100,Base = 100,
Consumer Price Index,1925 July,Base December 2016=100,Base = 100,
Consumer Price Index,1925 July,Base December 2023=100,Base = 100,
Consumer Price Index,1925 August,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 August,Base August 1947=100,Base = 100,
Consumer Price Index,1925 August,Base August 1953=100,Base = 100,
Consumer Price Index,1925 August,Base November 1968=100,Base = 100,
Consumer Price Index,1925 August,Base November 1975=100,Base = 100,
Consumer Price Index,1925 August,Base November 1982=100,Base = 100,
Consumer Price Index,1925 August,Base November 1989=100,Base = 100,
Consumer Price Index,1925 August,Base November 1996=100,Base = 100,
Consumer Price Index,1925 August,Base December 2001=100,Base = 100,
Consumer Price Index,1925 August,Base December 2006=100,Base = 100,
Consumer Price Index,1925 August,Base December 2011=100,Base = 100,
Consumer Price Index,1925 August,Base December 2016=100,Base = 100,
Consumer Price Index,1925 August,Base December 2023=100,Base = 100,
Consumer Price Index,1925 September,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 September,Base August 1947=100,Base = 100,
Consumer Price Index,1925 September,Base August 1953=100,Base = 100,
Consumer Price Index,1925 September,Base November 1968=100,Base = 100,
Consumer Price Index,1925 September,Base November 1975=100,Base = 100,
Consumer Price Index,1925 September,Base November 1982=100,Base = 100,
Consumer Price Index,1925 September,Base November 1989=100,Base = 100,
Consumer Price Index,1925 September,Base November 1996=100,Base = 100,
Consumer Price Index,1925 September,Base December 2001=100,Base = 100,
Consumer Price Index,1925 September,Base December 2006=100,Base = 100,
Consumer Price Index,1925 September,Base December 2011=100,Base = 100,
Consumer Price Index,1925 September,Base December 2016=100,Base = 100,
Consumer Price Index,1925 September,Base December 2023=100,Base = 100,
Consumer Price Index,1925 October,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 October,Base August 1947=100,Base = 100,
Consumer Price Index,1925 October,Base August 1953=100,Base = 100,
Consumer Price Index,1925 October,Base November 1968=100,Base = 100,
Consumer Price Index,1925 October,Base November 1975=100,Base = 100,
Consumer Price Index,1925 October,Base November 1982=100,Base = 100,
Consumer Price Index,1925 October,Base November 1989=100,Base = 100,
Consumer Price Index,1925 October,Base November 1996=100,Base = 100,
Consumer Price Index,1925 October,Base December 2001=100,Base = 100,
Consumer Price Index,1925 October,Base December 2006=100,Base = 100,
Consumer Price Index,1925 October,Base December 2011=100,Base = 100,
Consumer Price Index,1925 October,Base December 2016=100,Base = 100,
Consumer Price Index,1925 October,Base December 2023=100,Base = 100,
Consumer Price Index,1925 November,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 November,Base August 1947=100,Base = 100,
Consumer Price Index,1925 November,Base August 1953=100,Base = 100,
Consumer Price Index,1925 November,Base November 1968=100,Base = 100,
Consumer Price Index,1925 November,Base November 1975=100,Base = 100,
Consumer Price Index,1925 November,Base November 1982=100,Base = 100,
Consumer Price Index,1925 November,Base November 1989=100,Base = 100,
Consumer Price Index,1925 November,Base November 1996=100,Base = 100,
Consumer Price Index,1925 November,Base December 2001=100,Base = 100,
Consumer Price Index,1925 November,Base December 2006=100,Base = 100,
Consumer Price Index,1925 November,Base December 2011=100,Base = 100,
Consumer Price Index,1925 November,Base December 2016=100,Base = 100,
Consumer Price Index,1925 November,Base December 2023=100,Base = 100,
Consumer Price Index,1925 December,Base July 1914=100,Base = 100,188
Consumer Price Index,1925 December,Base August 1947=100,Base = 100,
Consumer Price Index,1925 December,Base August 1953=100,Base = 100,
Consumer Price Index,1925 December,Base November 1968=100,Base = 100,
Consumer Price Index,1925 December,Base November 1975=100,Base = 100,
Consumer Price Index,1925 December,Base November 1982=100,Base = 100,
Consumer Price Index,1925 December,Base November 1989=100,Base = 100,
Consumer Price Index,1925 December,Base November 1996=100,Base = 100,
Consumer Price Index,1925 December,Base December 2001=100,Base = 100,
Consumer Price Index,1925 December,Base December 2006=100,Base = 100,
Consumer Price Index,1925 December,Base December 2011=100,Base = 100,
Consumer Price Index,1925 December,Base December 2016=100,Base = 100,
Consumer Price Index,1925 December,Base December 2023=100,Base = 100,
Consumer Price Index,1926 January,Base July 1914=100,Base = 100,188
Consumer Price Index,1926 January,Base August 1947=100,Base = 100,
Consumer Price Index,1926 January,Base August 1953=100,Base = 100,
Consumer Price Index,1926 January,Base November 1968=100,Base = 100,
Consumer Price Index,1926 January,Base November 1975=100,Base = 100,
Consumer Price Index,1926 January,Base November 1982=100,Base = 100,
Consumer Price Index,1926 January,Base November 1989=100,Base = 100,
Consumer Price Index,1926 January,Base November 1996=100,Base = 100,
Consumer Price Index,1926 January,Base December 2001=100,Base = 100,
Consumer Price Index,1926 January,Base December 2006=100,Base = 100,
Consumer Price Index,1926 January,Base December 2011=100,Base = 100,
Consumer Price Index,1926 January,Base December 2016=100,Base = 100,
Consumer Price Index,1926 January,Base December 2023=100,Base = 100,
Consumer Price Index,1926 February,Base July 1914=100,Base = 100,188
Consumer Price Index,1926 February,Base August 1947=100,Base = 100,
Consumer Price Index,1926 February,Base August 1953=100,Base = 100,
Consumer Price Index,1926 February,Base November 1968=100,Base = 100,
Consumer Price Index,1926 February,Base November 1975=100,Base = 100,
Consumer Price Index,1926 February,Base November 1982=100,Base = 100,
Consumer Price Index,1926 February,Base November 1989=100,Base = 100,
Consumer Price Index,1926 February,Base November 1996=100,Base = 100,
Consumer Price Index,1926 February,Base December 2001=100,Base = 100,
Consumer Price Index,1926 February,Base December 2006=100,Base = 100,
Consumer Price Index,1926 February,Base December 2011=100,Base = 100,
Consumer Price Index,1926 February,Base December 2016=100,Base = 100,
Consumer Price Index,1926 February,Base December 2023=100,Base = 100,
Consumer Price Index,1926 March,Base July 1914=100,Base = 100,188
Consumer Price Index,1926 March,Base August 1947=100,Base = 100,
Consumer Price Index,1926 March,Base August 1953=100,Base = 100,
